PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,01:45.0,2,2fa520335181b12,8df368a1c99c297,19e2e,19e2e,c916b4fdd1,dac8dcaeb9
sms,0,01:45.0,2,a2e4e0ec5415a88,e9dfce70c7d3f76,19e2e,19e2e,c919baf9c8,4d67cb1e72
Voice,33,01:46.0,4,e32b3e3a86ad837,4c42ff76ed60361,19e2e,19e2e,6fddc7c18f,f191951c20
Voice,61,01:46.0,2,1dc4e5760475f64,14f2cfca4571763,19e2e,19e2e,a1c109351b,098061f17e
Voice,38,01:46.0,1,6ffe42fc9bdbb83,89865de9cd80cef,19e2e,19e2e,ae4db80773,5ada252efc
data,0,01:46.0,_,b9621ec444eab89,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,3f380de986c4676,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,f6e80292b0048fc,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,67a47c5fc5b3d94,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,206645ee6e04cbc,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,eda874d0b9e1e29,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:46.0,_,0df4c6ebe5e5787,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
Voice,8,01:46.0,0,04fb421beea5b20,20ae1c764ef5511,19e2e,19e2e,7483d04136,0a0692c4eb
Voice,1,01:46.0,1,94bce64613f67e5,eae7b181c019f3c,19e2e,19e2e,afefb687c9,043588076c
sms,0,01:46.0,2,c5e882b6b70932f,aaaf0e4bdec7311,19e2e,19e2e,4a1946d719,bb10e04c53
sms,0,01:46.0,0,8fbb77462edb72f,52bd3cf7c6da60e,19e2e,19e2e,cd828df0e4,c07a544c63
Voice,18,01:46.0,1,4fb2f085d612f55,bc1867baed6ffcb,19e2e,19e2e,ee5b2665ab,24859804fd
Voice,50,01:46.0,0,b250258bfb9f4ed,063a7e6c54e1d49,19e2e,19e2e,80c2221eec,8fd6f8d1c5
Voice,111,01:46.0,2,bbf8a9a9919dc49,28f716a3637c1dd,19e2e,19e2e,3003be076c,2802d8247a
Voice,6,01:46.0,2,c488b2ab72c4179,fc4b6f31f69ab3e,19e2e,19e2e,98ed726da2,b4130b54ab
sms,0,01:46.0,1,6d10227297efcb9,7af76c2046e02f3,19e2e,OTHER,f54e480df9,928a59b635
sms,0,01:46.0,0,a7a86b45f71c7e8,4da02ebecb63d10,19e2e,19e2e,2ed1c6a4c6,7fa72a1ee3
sms,0,01:46.0,2,b2833dca2afc334,11b8c9d1c257499,19e2e,19e2e,2a8c5b9124,1e751d08a4
sms,0,01:46.0,2,32255675c3b6fe3,1aa7ae01386e9fb,19e2e,19e2e,2a45171ade,66e2080825
sms,0,01:46.0,0,47d8fbf06269c49,1448d99b4086209,19e2e,19e2e,7af7f866c8,d29252461f
data,0,01:46.0,_,77c6999ceaf85e9,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
sms,0,01:46.0,1,6d10227297efcb9,7af76c2046e02f3,19e2e,OTHER,f54e480df9,928a59b635
Voice,38,01:47.0,5,f2cb1909b3739dc,e8014dab5c93ffd,19e2e,19e2e,fc1efeea69,f15bd5483f
Voice,11,01:47.0,2,07acd19f74a6b58,4b621495ffd9371,19e2e,19e2e,8418cc64dd,a31cda32b8
Voice,75,01:47.0,2,2f88eea94b28572,b73430df4603024,19e2e,19e2e,c3a6d994b3,d29252461f
data,0,01:47.0,_,2ea662a74bee932,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:47.0,_,8c7bc664d6dfd7a,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:47.0,_,6f4050561ae55fa,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:47.0,_,a96755b2c9db26f,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:47.0,_,63af21d4e9a1597,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
data,0,01:47.0,_,09e7d5d40c4899c,5a4dc9e82deb309,19e2e,OTHER,ffa6759bb2,
Voice,5,01:47.0,0,45bc531ef4ed2d4,fada27c70c5ce47,19e2e,19e2e,99586d686c,012114d799
Voice,21,01:47.0,2,79c415c6e91440c,10325d83ba2537a,19e2e,19e2e,8b4f82a66a,1946bb6fbf
Voice,105,01:47.0,2,16308cd6c45a19a,c886863044c646c,19e2e,19e2e,4e45b06e26,eaad357293
Voice,0,01:47.0,2,e638b9be245b87f,c24a02c4699d459,19e2e,19e2e,4261f660ef,69bdfc69fd
Voice,0,01:47.0,2,fc6e97517938f21,12dd645e76620bf,19e2e,19e2e,c680fed038,35530f1375
Voice,92,01:47.0,1,6bb2b292bec466a,cab34e327cdf513,19e2e,19e2e,07ed226112,334fdb9912
Voice,32,01:47.0,2,60f506b1031e41f,e2e748994f345f9,19e2e,19e2e,4b5563f04e,26c9f73a63
Voice,7,01:47.0,0,d6e3620952a011b,0b7bdf3a214d2ea,19e2e,19e2e,cd828df0e4,c07a544c63
sms,0,01:47.0,2,83fd64fb18c2395,aaaf0e4bdec7311,19e2e,19e2e,c916b4fdd1,dac8dcaeb9
sms,0,01:47.0,5,b4b90224dd10555,37334a54466bb3e,19e2e,19e2e,3f243b59d2,7c7a7a71b5
sms,0,01:47.0,0,26139f8ba24ae66,fe4ba11c5476489,19e2e,19e2e,cbb953ec8e,e4d5180258
Voice,0,01:47.0,4,fdf5bd87cf800c3,14cf7535a29e693,19e2e,19e2e,b085ad13d6,bb93aaa23b
sms,0,01:47.0,4,05fdf7872bc3f39,aaaf0e4bdec7311,19e2e,19e2e,9708bb99ce,a3efd45afb
sms,0,01:47.0,1,2bb19001bfe66ba,292fefba65a3456,19e2e,19e2e,7773627c12,9ef9616350
Voice,5,01:47.0,5,6479ac0eccca549,f44aa3f1e232f9a,19e2e,19e2e,e1481c6c14,06623c2f1f
sms,0,01:47.0,4,444da5f3bc97ddd,f09913a7466edd4,19e2e,19e2e,b4f8f69157,8e6413d5b8
sms,0,01:47.0,1,3460a40959c6e5a,1c87d26936091a2,19e2e,19e2e,f053be2418,2dc799193c
sms,50,01:47.0,2,efdb208ef883e61,99ff1cb4c12e6bd,19e2e,19e2e,dc267159be,cc8dcf793b
sms,0,01:47.0,1,245442d72c2698a,833d7b9b29858f8,19e2e,19e2e,3620bdaaee,ec2f249b2b
sms,0,01:47.0,0,c731afd285c9261,77707f4a0b2b068,19e2e,19e2e,613afb4ef6,40bb97c420
sms,0,01:47.0,2,c3eaa460c613617,93343ba6e41af95,19e2e,19e2e,c56398a6e0,58c9a7d6e4
